Number,Subsidy_Contract_Number,Star_Level,Star_Level_Cat,Star_Effective_Date,Facility_Name,Address,City,Zip,Phone,Capacity
K830024217,28188,,2,8/1/2007,TURNER LEARNING CENTER,702 E. CENTRAL,HUGO,74743,(580) 326-7343,30
K830024920,28688,,2,7/1/2011,GIGGLE TIME SCHOOLS,305 NORTH F STREET,HUGO,74743,(580) 326-8286,45
K820047912,58523,,2,8/1/2008,"SISSOM, VICTORIA CHILD CARE HOME",117 PLAINVIEW DR,HULBERT,74441,(918) 772-6345,12
K830021490,,,2,8/1/2008,SHADY GROVE HEADSTART,11042 W SHADY GROVE,HULBERT,74441,(918) 772-3505,28
K830024514,28365,,2,12/1/2008,ROBBIE'S PLAYHOUSE,3501 NE LINCOLN,IDABEL,74740,(580) 208-2922,105
K820030840,19065,,2,1/1/2002,"WOODRUM, ALICE CHILD CARE HOME",1802 S. COLORADO,IDABEL,74745,(580) 286-7985,12
K820036569,52624,,2,12/1/2003,"WRIGHT, HENRETTA CHILD CARE HOME",104 SW MAPLE DR.,IDABEL,74745,(580) 286-7055,12
K830022114,26722,,2,3/1/2004,CINDERELLA'S PLAY & LEARN CC,511 N.W. DIXIE,IDABEL,74745,(580) 286-2832,35
K830023519,27735,,2,9/1/2006,CHOCTAW NATION DAY CARE,2412 E LINCOLN RD,IDABEL,74745,(580) 286-3060,59
K820050999,59271,,2,6/1/2013,"KLEIN, CHRISTY CHILD CARE HOME",622 WICHITA STREET,INDIANOLA,74442,(918) 617-5240,7
K830023861,27957,,2,12/1/2005,GROWING TREE LEARNING CENTER,30600 S. 4200 RD,INOLA,74036,(918) 543-2023,99
K830053100,29096,,2,5/1/2016,HAND-IN-HAND EARLY LEARNING CENTER AND PRESCHOOL,1605 W ATLANTA ST,JAY,74346,(918) 253-2852,28
K820050824,59254,,2,3/1/2013,"STAPLETON, SUSAN CHILD CARE HOME",1301 W. BRIARWOOD,JAY,74346,(918) 253-2803,7
K830051479,28899,,2,10/1/2013,EDUCATION STATION,856 E. MELTON DR,JAY,74346,(918) 253-6399,24
K830024374,28286,,2,5/1/2008,WEE TOT LEARNING SPOT,408 N 2ND ST,JAY,74346,(918) 253-5111,30
K820044545,,,2,12/1/2004,"BECK, LISA CHILD CARE HOME",916 NW 2ND STREET,JAY,74346,(918) 314-3712,12
K830006606,23893,,2,3/1/2005,JENKS PS B/A ENRICHMENT PRG2,900 N ADAMS,JENKS,74037,(918) 299-4411,160
K830006856,23672,,2,7/1/2002,JENKS PUBLIC SCHOOL EARLY CHILDHOOD CENTER,341 EAST C STREET,JENKS,74037,(918) 299-4415,120
K830020894,26033,,2,10/1/2004,JENKS WEST INTERMEDIATE CLUB,909 N ADAMS,JENKS,74037,(918) 299-4415,60
K830022122,26756,,2,5/1/2003,LORDS & LADIES CHILD DEVELOPOMENT CENTER,900 W MAIN,JENKS,74037,(918) 299-0975,170
K830023510,27922,,2,12/1/2004,JENKS WEST ADVENTURE CLUB,"2550 W K PL, BLDG B",JENKS,74037,(918) 299-4415,80
K820044555,57352,,2,7/1/2006,DAVIS CHARLENE DBA C & B LIL ANGELS CHILD CARE HOME,12921 BLUE QUAIL DR,JONES,73049,(405) 771-4802,12
K830022400,26956,,2,7/1/2003,NANNIES DAYCARE,12950 E. BRITTON RD,JONES,73049,(405) 399-5555,96
K820044229,57268,,2,1/1/2006,"ANGLIN, JULIA CHILD CARE HOME",9450 E 575 RD,KANSAS,74347,(918) 868-3607,12
K820045802,57866,,2,7/1/2008,"CARNES, TERI CHILD CARE HOME",11589 E 550 RD,KANSAS,74347,(918) 868-5814,12
K830051898,28958,,2,7/1/2014,CANDYLAND,225 E. MARLEY,KELLYVILLE,74039,(918) 247-7601,43
K820045444,57801,,2,9/1/2007,"TALLEY, JENNIFER CHILD CARE HOME",131 S. OAK,KELLYVILLE,74039,(918) 361-6005,12
K830022280,26929,,2,12/1/2004,KIEFER ELEMENTARY SCHOOL,27 N. INDIANA,KIEFER,74041,(918) 321-5444,76
K820049779,58935,,2,12/1/2010,"RAMMING, RACHAEL DBA TINY HANDS DAYCARE LLC CHILD CARE HOME",15615 BEVERLY DR,KINGFISHER,73750,(405) 375-3457,7
K830023489,27764,,2,2/1/2007,BLAIR EARLY EDUCATIONAL CENTER,217 N 6TH STREET,KINGFISHER,73750,(405) 375-3077,60
K830025093,28755,,2,3/1/2012,A & C SKOOLHOUSE LLC,411 HWY. 70 N.,KINGSTON,73439,(580) 564-7194,30
K830023563,28035,,2,5/1/2006,SEMINOLE NATION CDC-KONAWA,14318 HWY 99,KONAWA,74849,(580) 925-3152,12
K820051713,59352,,2,1/1/2014,"BROWN, JOANI CHILD CARE HOME",209 S. LINCOLN,LANGSTON,73050,(405) 466-8065,12
K830052576,29032,,2,7/1/2015,"FIRST STEP ACADEMY TOO, LLC.",103 N. LINCOLN,LANGSTON,73050,(405) 466-3111,30
K820050900,59211,,2,11/1/2012,"SAMS, DUSTI JANN CHILD CARE HOME",202 S. KANSAS,LAVERNE,73848,(580) 334-2378,12
K820034411,51404,,2,1/1/2002,"FIGUEROA, CELENIA CHILD CARE HOME",919 SW 8TH ST,LAWTON,73501,(580) 248-6397,12
K830052924,29084,,2,3/1/2016,"LITTLE BLESSINGS LEARNING ACADEMY, LLC",1405 SW LEE BLVD.,LAWTON,73501,(580) 699-2042,40
K830025079,28743,,2,2/1/2012,ABC LEARNING CENTER INC #2,3217 E GORE BLVD,LAWTON,73501,(580) 248-8950,150
K830051261,28870,,2,7/1/2013,WILD ADVENTURES,1006 SW D AVENUE,LAWTON,73501,(580) 248-4105,30
K820039869,54353,,2,2/1/2005,"LAWRENCE, BETSY CHILD CARE HOME",1001 SE 45TH ST,LAWTON,73501,(580) 353-1409,12
K830008343,20069,,2,1/1/2004,KAE DEE DAY CARE CENTER,2206 SW 'E' AVE,LAWTON,73501,(580) 357-7753,75
K830020918,26503,,2,12/1/2015,ST. JOHN LUTHERAN SCHOOL,609 SW B AVE.,LAWTON,73501,(580) 280-2580,99
K830021089,26051,,2,1/1/2002,ABC LEARNING CENTER INC.,1116 FERRIS,LAWTON,73501,(580) 357-4540,98
K830022500,27068,,2,12/1/2004,LAWTON YMCA SCHOOL AGE,5 SW 5TH,LAWTON,73501,(580) 355-9622,140
K830023881,27996,,2,3/1/2006,NUMUNU TURETU EARLY CHILDHOOD,"216 SE ""J"" AVE.",LAWTON,73501,(580) 250-1561,60
K830053024,29098,,2,5/3/2016,GREAT PLAINS CHILDCARE LLC,4460 SW LEE BLVD.,LAWTON,73505,(580) 699-7000,75
K830053391,29126,,2,9/1/2016,KIRK'S KLUBHOUSE CHILDCARE FACILITY,1609 NW SHERIDAN RD.,LAWTON,73505,(580) 514-3589,30
K830053264,29112,,2,7/1/2016,SMALL STEPS AHEAD CHILDCARE AND PRE-SCHOOL,5525 NW CACHE ROAD SUITE 6,LAWTON,73505,(580) 355-2991,30
K830025057,28742,,2,1/1/2017,"BANNER OF LOVE CHILDCARE, LLC",1701 NW SHERIDAN RD.,LAWTON,73505,(580) 248-4083,60
K830025229,28916,,2,12/1/2013,MIGHT TECHNOLOGY AND LEARNING CHILD CARE CENTER,714 SW 45TH STREET,LAWTON,73505,(580) 595-4808,40
K830051413,28910,,2,11/1/2013,LOVING HANDS SAFE HAVEN,2202 TERRACE HILLS BOULEVARD,LAWTON,73505,(580) 699-3860,60
K830052059,28990,,2,12/1/2014,NANA'S LITTLE STARS,6401 W GORE BLVD,LAWTON,73505,(580) 531-5193,60
K830052331,29004,,2,2/3/2015,BUS STOP LLC,4645 W. GORE BLVD.,LAWTON,73505,(580) 699-5437,90
K830023952,,,2,8/1/2006,CHILDREN OF DESTINY LEARNING CENTER,1701 NW SHERIDAN RD,LAWTON,73505,(580) 248-4083,75
K820047660,58429,,2,2/1/2013,"GREGORY, SHERRY LYNN CHILD CARE HOME",1425 NW GREAT PLAINS BLVD,LAWTON,73505,(580) 458-1113,12
K830024505,28363,,2,12/1/2008,CHILDREN OF JOY LEARNING ACADEMY,1305 NW 73RD STREET,LAWTON,73505,(580) 536-4331,100
K820032836,50471,,2,8/1/2002,"PERRIN, THERESA CHILD CARE HOME",1616 NW 48TH,LAWTON,73505,(580) 355-5601,12
K830004207,23564,,2,4/1/2002,HOLY CROSS LEARNING CENTER,2105 NW 38TH,LAWTON,73505,(580) 357-9005,60
K830020803,,,2,1/1/2003,CHILDRENS CORNER FUMC,2602 NW FERRIS,LAWTON,73505,(580) 355-5355,60
K830023456,27703,,2,8/1/2006,CREATIVE CHILDREN LEARNING CENTER,6935 W GORE,LAWTON,73505,(580) 536-1631,72
K820052030,59458,,2,7/1/2015,"TUCKER, JULIE DBA COUNTRY KIDS HOME DAY CARE CHILD CARE HOME",12310 NW MILLER RD.,LAWTON,73507,(580) 574-1630,12
K830023929,28198,,2,8/1/2007,BEGINNINGS ACADEMY,501 NW WOODRIDGE DR,LAWTON,73507,(580) 354-9865,180
K830024574,28475,,2,10/1/2009,KREEPERS & CRAWLERS 2,2101 NW SHERIDAN,LAWTON,73507,(580) 581-1308,60
K820038837,53783,,2,12/1/2008,"VAUGHN, LAVERNE CHILD CARE HOME",302 NW FERRIS AVENUE,LAWTON,73507,(580) 353-0303,7
K830000414,20068,,2,11/1/2004,JACK AND JILL DAY CARE CENTE,1905 SMITH,LAWTON,73507,(580) 353-1988,85
K830021512,26846,,2,6/1/2002,ARMED SERVICES YMCA,900 NW CACHE RD,LAWTON,73507,(580) 355-5520,120
K830024165,28153,,2,9/1/2008,CHRISTIAN LIFE DAYCARE,209 NE 2ND STREET,LEXINGTON,73051,(405) 527-7165,90
K830021294,22686,,2,5/1/2004,DOUBLE RAINBOW,423 NE 4TH,LEXINGTON,73051,(405) 527-7318,47
K830053178,29100,,2,6/1/2016,"LIL LEOPARDS LEARNING CENTER, LLC",106 NW 7TH STREET,LINDSAY,73052,(405) 756-8881,26
K820032510,50122,,2,1/1/2002,"WILSON, DANA D. DBA DANA WILSON HOME DAYCARE CHILD CARE HOME",328 MAPLEWOOD,LINDSAY,73052,(405) 756-7890,7
K830021445,,,2,6/1/2003,DELTA H S LINDSAY,14027 E. CR 1518,LINDSAY,73052,(405) 756-3513,38
K830024863,28652,,2,3/1/2011,TOT ROCK ACADEMY,905 E MAIN,LOCUST GROVE,74352,(918) 479-4050,105
K830024402,28303,,2,7/1/2010,NANNY'S,15026 N HWY 70,LONE GROVE,73443,(580) 657-3311,30
K830024214,28176,,2,7/1/2007,APPLE CREEK LEARNING CENTER,803 S BIRCH,LUTHER,73054,(405) 277-4355,48
K830000590,,,2,1/1/2002,ARMSTRONG CHILD DEVELOPMENT,309 SW 5TH,LUTHER,73054,(405) 277-3530,25
K830003148,20243,,2,6/10/2014,MADILL COMMUNITY DCC,410 BROOKSIDE DR.,MADILL,73446,(580) 795-5030,98
K830053575,29150,,2,1/1/2017,TIGER CUB LEARNING CENTER L.L.C.,201 W TYLER ST,MANGUM,73554,(580) 782-3080,62
K830051255,28885,,2,9/1/2013,ANGEL ACADEMY,203 E. BUCHANAN,MANGUM,73554,(580) 782-5437,45
K830007922,,,2,9/1/2005,MANGUM HEAD START,571 E LINCOLN,MANGUM,73554,(580) 782-3712,34
K830025072,28763,,2,4/1/2012,HARRIGER HALL CHILD DEVELOPMENT CENTER LLC,36255 W 31ST ST S,MANNFORD,74044,(918) 865-3050,30
K830004821,22802,,2,6/1/2008,BUTTONS & BOWS,42 BASIN ROAD,MANNFORD,74044,(918) 865-4338,48
K830021728,26505,,2,3/1/2002,LAKESIDE CHILD DEVELOPMENT CENTER,110 EVANS AVE,MANNFORD,74044,(918) 865-2622,96
K830051885,28952,,2,6/1/2014,LITTLE BUCKAROOS DAYCARE AND PRESCHOOL,600 S DRIFTWOOD,MARIETTA,73448,(580) 276-5577,36
K830007760,23136,,2,1/1/2005,MARIETTA DAY CARE AND PRESCHOOL,800 S. HWY. 77,MARIETTA,73448,(580) 276-2474,75
K830025097,28758,,2,4/1/2012,"CHATTERBOX CHILDCARE, LLC",503 EAST MAIN ST,MARLOW,73055,(580) 658-1000,45
K830024998,28701,,2,9/1/2011,FIRST KIDZ ACADEMY,213 N BROADWAY,MARLOW,73055,(580) 658-5413,100
K820047016,59349,,2,9/1/2011,"ALEXANDER, THERESA CHILD CARE HOME",406 S BALLARD,MAUD,74854,(405) 374-9977,12
K820050551,59169,,2,5/1/2016,"BAILEY, NINA L. DBA NINA BAILEY'S DAYCARE CHILD CARE HOME",1012 LEE ST.,MAYSVILLE,73057,(405) 428-8938,12
K830023263,,,2,10/1/2003,MAYSVILLE EARLY LEARNING CTR,9 WILLIAMS,MAYSVILLE,73057,(405) 867-1297,17
K820042369,55934,,2,8/1/2013,"MARINO, MELISSA CHILD CARE HOME",2505 HARDY SPRINGS ROAD,MCALESTER,74501,(918) 302-0021,12
K830025127,28784,,2,7/1/2012,LI'L EXPLORERS CHILD CARE & LEARNING CENTER,35 E. MADISON,MCALESTER,74501,(918) 420-5750,60
K820051731,59355,,2,2/1/2014,"BOATNER, SHANNON CHILD CARE HOME",1018 EAST SENECA,MCALESTER,74501,(918) 429-9270,12
K830052894,29077,,2,2/1/2016,KIDS HOUSE LEARNING CENTER,439 W. CARL ALBERT,MCALESTER,74501,(918) 426-5437,48
K820042743,56185,,2,10/1/2004,"HYDEN, PAULA CHILD CARE HOME",2716 HIGHLAND TERR,MCALESTER,74501,(918) 429-0917,12
K830022754,27271,,2,5/1/2005,WIDENING HORIZONS,2000 N. 7TH,MCALESTER,74501,(918) 423-6437,40
K830023264,27573,,2,12/1/2003,KIDDIN AROUND ACADEMY,1211 E. JEFFERSON,MCALESTER,74501,(918) 420-5055,81
K820048798,58691,,2,10/1/2011,"MCFARLAND, KRISTY CHILD CARE HOME",115 E ELECTRIC AVE,MCALESTER,74501,(918) 426-6589,7
K830024963,28680,,2,7/1/2011,KLEVER KIDZ ACADEMY,105 EAST CREEK,MCALESTER,74501,(918) 715-3283,103
K830024187,28161,,2,6/1/2007,JUST KIDDIN' ACADEMY,1201 WADE WATTS AVE.,MCALESTER,74502,(918) 423-5021,90
K830024417,28314,,2,8/1/2008,"LITTLE BUCK-A-ROOS DAYCARE & PRESCHOOL, INC.",1135 W. BROADWAY,MCLOUD,74851,(405) 964-5900,54
K830023544,27777,,2,11/1/2004,KICKAPOO COMMUNITY CHILD CARE,100525 S. HWY 102,MCLOUD,74851,(405) 964-2063,185
K830052686,29043,,2,8/1/2015,"TENDERCARE - THE NEXT GENERATION, INC.",511 S. CULVER,MEEKER,74855,(405) 279-2002,64
K830024035,28093,,2,10/1/2006,LISA'S KIDDIE KORRAL,306 S. MENO,MENO,73760,(580) 776-2221,45
K820052991,,,2,9/7/2016,"MOSS, STACY CHILD CARE HOME",5610 S. 540 ROAD,MIAMI,74354,(918) 533-0617,7
K830052232,28979,,2,11/1/2014,LEAP & LEARN CHILDCARE,20 I ST SE,MIAMI,74354,(918) 919-3307,28
K830024409,28319,,2,7/1/2008,KRAYOLA KIDS DAYCARE,409 B STREET SE,MIAMI,74354,(918) 542-6335,51
K830023195,27503,,2,10/1/2004,M&M KIDS,215 E BJ TUNNEL BLVD,MIAMI,74354,(918) 542-1901,43
K830004725,22601,,2,2/1/2003,JOYFUL LEARNING CENTER,1815 E. STEVE OWENS,MIAMI,74354,(918) 542-9241,122
K830009802,25301,,2,7/1/2002,THE TOT SPOT,421 F N.W.,MIAMI,74354,(918) 542-1739,70
K830020070,23671,,2,6/1/2003,KELLY'S KORNER,2105 E. ROCKDALE RD.,MIAMI,74354,(918) 542-8016,85
K830052944,29139,,2,10/6/2016,NANA'S HOUSE LEARNING AND CHILD CARE CENTER,6205 SE 15TH STREET,MIDWEST CITY,73110,(405) 455-6774,30
K820052959,59509,,2,4/11/2016,"SCOTT, TIESHA CHILD CARE HOME",3704 OAK GROVE DRIVE,MIDWEST CITY,73110,(405) 473-3999,12
K820050544,59161,,2,8/1/2014,"GREEN, LATOYA CHILD CARE HOME",1308 PARKWOOD TERR,MIDWEST CITY,73110,(405) 741-7290,12
K830025183,28882,,2,8/1/2013,ROADRUNNER NEST,137 W. RIDGEWOOD,MIDWEST CITY,73110,(405) 739-1671,59
K830051570,28915,,2,12/1/2013,HAPPY TIMES CHILD DEVELOPMENT CENTER LLC,405 S. AIR DEPOT BLVD,MIDWEST CITY,73110,(405) 737-6360,197
K830051695,28940,,2,3/1/2014,LIL' SOONERS CDC LLC,"1114 S. AIR DEPOT, STE. 4",MIDWEST CITY,73110,(405) 741-6200,50
K830051940,28961,,2,8/1/2014,LEARN LOVE & LAUGH CDC LLC,8421 NE 10TH ST.,MIDWEST CITY,73110,(405) 741-5439,60
K830052039,28965,,2,9/1/2014,EXCEL LEARNING CENTER & CHILD CARE,6012 SE 15TH STREET,MIDWEST CITY,73110,(405) 741-1074,134
K830052321,29041,,2,9/1/2015,JUST ME AND THE KIDZ,2820 GLENHAVEN DRIVE,MIDWEST CITY,73110,(405) 455-6555,21
K820052327,59447,,2,4/1/2015,"HARKLESS,MELINDA DBA SOUTHERN BELLE CHILD CARE, LLC CHILD CARE HOME",717 HOLOWAY DR.,MIDWEST CITY,73110,(405) 397-9777,12
K830052385,29064,,2,11/1/2016,ABUNDANT LIFE ACADEMY,8211 NE 10TH,MIDWEST CITY,73110,(405) 532-0983,18
K820052780,59473,,2,11/1/2015,"WARNOCK, JOANNA CHILD CARE HOME",114 ORCHARD DRIVE,MIDWEST CITY,73110,(405) 501-6900,7
K820052896,59486,,2,1/1/2016,"BERRYMAN, PAIGE DBA KIDS CREATIONS CDC LLC CHILD CARE HOME",310 W MICHAEL DRIVE,MIDWEST CITY,73110,(405) 455-6397,12
K830024149,28207,,2,9/1/2007,GREATER VISIONS CHILD CARE DEVELOPMENT CENTER,400 NORTH KEY BLVD.,MIDWEST CITY,73110,(405) 733-9392,30
K820046906,58248,,2,6/1/2009,"COULTER, JOLENE CHILD CARE HOME",3913 N BELLA VISTA DR,MIDWEST CITY,73110,(405) 733-5150,7
K830024242,26923,,2,3/1/2008,LCSI-WILLOW BROOK,8105 NE 10TH ST,MIDWEST CITY,73110,(405) 732-1277,40
K820048061,51896,,2,2/1/2009,"TAYLOR, LATONIA CHILD CARE HOME",3729 ROLLING LANE,MIDWEST CITY,73110,(405) 869-9870,12
K820048186,58569,,2,12/1/2008,"GREER, DOROTHY DBA D N GREER CO, INC CHILD CARE HOME",4302 N SHADYBROOK DR,MIDWEST CITY,73110,(405) 732-7543,12
K830022895,27356,,2,8/1/2015,LCSI-CLEVELAND BAILEY,3301 SUNVALLEY DRIVE,MIDWEST CITY,73110,(405) 739-0396,40
K830022896,27357,,2,12/22/2015,LCSI-COUNTRY ESTATES,1609 FELIX PLACE,MIDWEST CITY,73110,(405) 739-0370,40
K820032487,50149,,2,3/1/2006,"BOWIE, ELIZABETH CHILD CARE HOME",4601 MEADOWPARK DR,MIDWEST CITY,73110,(405) 923-1190,7
K820035163,51839,,2,9/1/2006,"DAVIS, STACIA CHILD CARE HOME",211 W. SHADYWOOD,MIDWEST CITY,73110,(405) 737-0270,7
K820043756,56853,,2,2/1/2013,"TODD, DIONNE CHILD CARE HOME","3708 RIDGEHAVEN DR,",MIDWEST CITY,73110,(405) 604-3366,12
K820030788,19069,,2,7/1/2003,"PHILLIPS, BARBARA CHILD CARE HOME",3417 SYCAMORE DRIVE,MIDWEST CITY,73110,(405) 736-1979,7
K820036042,52454,,2,6/1/2003,"TAYLOR, MELISSA CHILD CARE HOME",2313 SANDRA,MIDWEST CITY,73110,(405) 733-0651,7
K820038398,53716,,2,7/1/2004,"GREEN, SHARLON CHILD CARE HOME",118 N. OAKS AVE.,MIDWEST CITY,73110,(405) 733-7102,7
K820045582,57748,,2,11/1/2005,"MADDEX, TERRI CHILD CARE HOME",409 E WILSON DR,MIDWEST CITY,73110,(405) 736-1124,7
K820045892,57924,,2,1/1/2013,"JACKSON, FELICIA CHILD CARE HOME",1008 WILLOWBROOK DR.,MIDWEST CITY,73110,(405) 882-2149,7
K830003593,22528,,2,10/1/2003,LINDA'S DAY CARE,108 W. RIDGEWOOD DR.,MIDWEST CITY,73110,(405) 737-9083,26
K830005257,28884,,2,7/1/2013,NEW BEGINNINGS LEARNING CENT,1621 MAPLE DR,MIDWEST CITY,73110,(405) 739-1707,30
K830005321,,,2,7/1/2004,GOOD SHEPHERD LUTHERN CDC,700 N AIR DEPOT,MIDWEST CITY,73110,(405) 732-7667,135
K830005497,23924,,2,6/1/2002,LCSI - MIDWEST CITY ELEMENTARY .,2211 S. MIDWEST BLVD.,MIDWEST CITY,73110,(405) 455-5050,80
K830005804,25252,,2,1/1/2004,LCSI - STEED,2118 FLANNERY DR,MIDWEST CITY,73110,(405) 739-0385,70
K830020768,25858,,2,7/1/2003,SMALL CORNERS OF THE WORLD,1612 S. MIDWEST BLVD,MIDWEST CITY,73110,(405) 737-4882,51
K830051363,28888,,2,9/1/2013,RAINBOW CONNECTION,9930 E RENO,MIDWEST CITY,73130,(405) 769-0906,90
K830051635,28929,,2,1/1/2014,LITTLE STAR'S CHILDCARE ACADEMY,9233 NE 10TH STREET,MIDWEST CITY,73130,(405) 736-0105,35
K830051694,28935,,2,2/1/2014,THE CHILDREN'S GARDEN,9909 E. RENO AVENUE,MIDWEST CITY,73130,(405) 455-5756,60
K820051760,59408,,2,7/1/2014,"JOHNSON, KIMBERLY CHILD CARE HOME",10201 ISAAC DRIVE,MIDWEST CITY,73130,(405) 474-6225,7
K820047456,58433,,2,9/1/2009,WATSON DALEMESHA CHILD CARE HOME,9305 STARDUST LANE,MIDWEST CITY,73130,(405) 732-0317,12
K820043987,57052,,2,9/1/2011,"TATE, MARY CHILD CARE HOME",532 E. CARDINAL PL,MIDWEST CITY,73130,(405) 732-2557,12
K830020214,25520,,2,2/1/2003,KIDS CLUB,10730 SE 15TH STREET,MIDWEST CITY,73130,(405) 741-2223,109
K830020289,25600,,2,11/1/2003,LCSI - SOLDIER CREEK,9021 SE 15T ST,MIDWEST CITY,73130,(405) 739-0312,70
K820035592,52299,,2,4/1/2012,"HARDEMAN, SHARISSE CHILD CARE HOME",9605 N.E. 11,MIDWEST CITY,73130,(405) 732-0305,7
K820045110,57791,,2,2/1/2010,"CUNNING, LACEE DBA LACEE'S DAYCARE CHILD CARE HOME",10700 SE 14TH STREET,MIDWEST CITY,73130,(405) 455-3437,7
K830024861,28613,,2,12/1/2010,"KIDS KOMPANY DAY CARE, INC.",304 SW 6TH,MINCO,73059,(405) 352-5161,30
K830024666,28470,,2,10/1/2009,KID'S CHOICE III,1219 N BROADWAY AVE,MOORE,73160,(405) 794-7107,60
K820053305,59545,,2,8/26/2016,"WILLIAMS, JENNIFER RENAE CHILD CARE HOME",613 N. BAER DRIVE,MOORE,73160,(580) 760-4158,7
K820050433,59134,,2,6/1/2012,"JAMES, KIMBERLY AND DARNELL DBA READY SET PLAY,LLC CHILD CARE HOME",1008 ELM CREEK DR,MOORE,73160,(405) 759-7616,12
K830025086,28748,,2,3/1/2012,LITTLE TROOPERS LEARNING CENTER II,1105 NW 27TH STREET,MOORE,73160,(405) 794-0777,60
K830025103,28760,,2,5/1/2012,LIL' FOOTPRINTS,1807 N. MOORE AVE,MOORE,73160,(405) 790-1110,60
K820051075,59256,,2,5/1/2013,"JACKSON, JANETHA DBA NAE'S CHILD CARE, LLC CHILD CARE HOME",2116 NE 15TH STREET,MOORE,73160,(405) 912-4223,12
K820052306,59443,,2,5/1/2015,"SHANNON, SIDRA CHILD CARE HOME",704 CASS AVE,MOORE,73160,(405) 410-1506,10
K820052776,59470,,2,10/1/2015,"WEIDENMAIER, DIXIE DBA DIXIE'S LITTLE WONDERS, LLC CHILD CARE HOME",803 A EAST HILLS DRIVE,MOORE,73160,(405) 312-0709,7
K820045122,58337,,2,6/1/2008,"AUDETTE, RHONDA DBA LITTLE ONE'S LEARNING CENTER CHILD CARE HOME",641 SW 11,MOORE,73160,(405) 615-1567,7
K830024160,28151,,2,4/1/2007,CONSTRUCTION ZONE LEARNING CENTER,211 SO. HOWARD,MOORE,73160,(405) 794-6500,90
K820047003,,,2,2/1/2015,"RAMOS, RHONDA CHILD CARE HOME",645 NE 18TH,MOORE,73160,(405) 850-2425,7
K820047614,58818,,2,4/1/2016,"SEEBECK, CHELSEY CHILD CARE HOME",2701 AMBER ST.,MOORE,73160,(405) 794-2363,7
K820047897,58494,,2,7/1/2010,"STEWART, FRANCES CHILD CARE HOME",1205 EAST HILLS DR.,MOORE,73160,(405) 703-1512,12
K830024442,28335,,2,9/1/2008,BELLA ROSE ACADEMY,200 E MAIN STREET,MOORE,73160,(405) 793-2355,90
K820030691,18991,,2,12/1/2015,"MORRISON, STACEY CHILD CARE HOME",908 S.E. 13TH,MOORE,73160,(405) 793-7446,7
K820043574,56749,,2,5/1/2006,"HILTON, KAYLENE CHILD CARE HOME",905 SE 9TH ST,MOORE,73160,(405) 416-0638,12
K830020635,25753,,2,9/1/2003,AGAPELAND LEARNING CENTER,809 SW 4TH ST.,MOORE,73160,(405) 793-0516,90
K830005278,26038,,2,12/1/2002,"APPLEJACKS LEARNING CTR, INC",316 N.E. 27TH,MOORE,73160,(405) 793-0555,60
K830053616,29145,,2,12/1/2016,ABUNDANT LIFE LEARNING CENTER,1200 NW 12TH ST,MOORE,73170,(405) 626-5898,30
K820042541,56056,,2,6/1/2005,"CONNER, CHRISTINA CHILD CARE HOME",1109 NW 7,MOORE,73170,(405) 799-9099,12
K830052697,29048,,2,9/1/2015,BING'S CHILD CARE CENTER,17620 HIGHWAY 62,MORRIS,74445,(918) 733-9281,50
K830024050,28109,,2,11/1/2006,SOWIN' SEEDS CHILD CARE,222 E. YOUNG,MORRIS,74445,(918) 733-1381,51
K830020809,26416,,2,6/1/2006,LIBERTY EXTENDED DAY CARE,2727 E 201 ST SOUTH,MOUNDS,74047,(918) 366-8490,45
K820043866,57001,,2,7/1/2016,"WYNN, SHARON KAY CHILD CARE HOME",1406 COMMERCIAL,MOUNDS,74047,(918) 827-7070,7
K830052436,29011,,2,3/1/2015,"LITTLE OKIE ACADEMY, LLC",1313 N. MAIN ST.,MUSKOGEE,74401,(918) 360-2355,80
K820046752,58190,,2,3/1/2007,"PRIDE, KANEISHA CHILD CARE HOME",704 COURT ST,MUSKOGEE,74401,(918) 913-7496,12
K830024166,28150,,2,5/1/2007,"MUSKOGEE REGIONAL MEDICAL CENTER, CHILD DEVELOPMEN",300 ROCKEFELLER DR,MUSKOGEE,74401,(918) 684-2448,98
K830024484,28352,,2,10/1/2008,CHAMPION'S CHILD CARE CENTER,602 NORTH 20TH ST.,MUSKOGEE,74401,(918) 682-2789,30
K830024497,28360,,2,3/1/2010,"NEW BEGINNINGS CHILD CARE CENTER, INC.",4900 CHIMNEY MT. RD.,MUSKOGEE,74401,(918) 684-4011,50
K830021328,26267,,2,6/1/2003,MUSK CO HEADSTART MAIN CAMPU,540 SO 3RD,MUSKOGEE,74401,(918) 682-5899,80
K830023606,27791,,2,12/1/2004,GREEN COUNTRY CHILD CARE,301 N. 6TH,MUSKOGEE,74401,(918) 683-6532,140
K820010213,13030,,2,11/1/2012,"TOOMER, SANDRA DIANE CHILD CARE HOME",2705 W. BROADWAY,MUSKOGEE,74401,(918) 682-2362,7
K820018501,17905,,2,9/1/2005,"LEE, SUZANNE FAY CHILD CARE HOME",4700 S 40TH ST W,MUSKOGEE,74401,(918) 682-5013,12
K820031701,19795,,2,10/1/2008,"MACK, JACQUELINE-GRAY CHILD CARE HOME",518 N. 7TH,MUSKOGEE,74401,(918) 683-8608,7
K820038736,53737,,2,9/1/2002,"DYER, LORI LAYNE CHILD CARE HOME",432 N. 14TH,MUSKOGEE,74401,(918) 537-2023,7
